word,meaning,word_type,last_sound,can_combine
ಪಟಿಯಾಲಾದ,of Patiala,noun,ದ,yes
ದಾಳಿ,attack,noun,ಿ,no
ಜರುಗಿಸಲು,to carry out,noun,ು,no
ನಿರಾಕರಿಸಿದ್ದರಿಂದ,Because he refused,noun,ದ,yes
ಮಕ್ಕಳು,Children,noun,ು,no
ಅಭಿವೃದ್ಧಿ,Development,prefix,ಿ,yes
ದೇವಸ್ಥಾನಗಳಿಗೆ,to the temples,noun,ೆ,no
ಪ್ರಾಣಿಗಳನ್ನುಆ,Animals,prefix,ಆ,yes
ಸೋಮೇಶ್ವರನು,Someshwara,noun,ು,no
ಹೊಯ್ಸಳ,Hoysala,noun,ಳ,no
ಪಡೆಗಳ,of forces,noun,ಳ,no
ಹಜಾರವು,The hallway,noun,ು,no
ನಿವಾರಣೆ,Elimination,noun,ೆ,no
ನೀವು,you,noun,ು,no
ಪುಟಕ್ಕೆ,to the page,noun,ೆ,no
ನೆರವಾಗಬಹುದು,can help,noun,ು,no
ನಿಮ್ಮನ್ನು,you,noun,ು,no
ಬೇಲ್,Bale,noun,್,no
ಗಳಿಸಲು,to earn,noun,ು,no
ಭಾಗದಷ್ಟಿತ್ತು,It was part,noun,ು,no
ಪೀಸ್,Piece,noun,್,no
ಮಾರ್ಚಿ,March,noun,ಿ,no
ರಂತೆ,as,noun,ೆ,no
ಉಳಿದ,The rest,noun,ದ,yes
ನೌಕರರು,employees,noun,ು,no
೧೮೭೦ರ,1870,noun,ರ,yes
ಗ್ರೆಗೋರಿಯನ್,Gregorian,noun,್,no
ಯಹೂದೀ,Jewish,noun,ೀ,no
ಸುಯಿ,Sui,prefix,ಿ,yes
ಮಾಧ್ಯಮದ,of media,noun,ದ,yes
ವಿಸ್ತರಿತ,Expanded,prefix,ತ,yes
ಸಮುದ್ರಕ್ಕೆ,to the sea,noun,ೆ,no
ವಂಶಪಾರಂಪರ್ಯವಾಗಿತ್ತು,It was hereditary,noun,ು,no
ಆರ್ಥಿಕತೆಯನ್ನು,the economy,noun,ು,no
ಅಂಗವಾಗಿದ್ದಾರೆ,are part of,prefix,ೆ,yes
ಮುಂಚಿತವಾಗಿ,in advance,noun,ಿ,no
ಆಟಗಾರರನ್ನು,the players,noun,ು,no
ಕ್ರೋವ್,Crowe,noun,್,no
ಫ್ರಾಂಚೈಸಿಗೆ,to the franchisee,noun,ೆ,no
ಎಂ,M,noun,ಂ,no
ಬ್ರಿಟನ್ನುಗಳಲ್ಲಿ,Among the Britons,noun,ಿ,no
ಮಹಾರಾಷ್ಟ್ರದ,of Maharashtra,prefix,ದ,yes
ಜೀವಾವಧಿ,life span,noun,ಿ,no
ಪ್ರಕರಣಗಳಲ್ಲಿ,In cases,prefix,ಿ,yes
ಭಾವಿಸುತ್ತಾರೆ,feel,noun,ೆ,no
ಸಾಗಾಟ,shipping,noun,ಟ,no
ಟೀಕಾಕಾರರಾಗಿ,Be a critic,noun,ಿ,no
ತೆಗೆದುಕೊಂಡದ್ದಾಗಿತ್ತು,was taken,noun,ು,no
ಮುಳ್ಳಿನಿಂದ,with a thorn,noun,ದ,yes
ಅಪ್ಸರಳು,A nymph,prefix,ು,yes
ಚಿಂತಿಸುತ್ತಿದ್ದನು,He was worried,noun,ು,no
ಕೃತಕನ,artificial,noun,ನ,yes
ಉನ್ನತಿಯ,Uplifting,noun,ಯ,yes
ಸಂಸ್ಥೆಯಾಗಿದೆ,is an institution,prefix,ೆ,yes
ಮುಖ್ಯಸ್ಥರಾದ,Chief,noun,ದ,yes
ಸಂಸ್ಥೆಗಳಲ್ಲಿ,In organizations,prefix,ಿ,yes
ಅಂದಿನ,of that time,prefix,ನ,yes
ತುಳು,Tulu,noun,ು,no
ದ್ವಿತೀಯಾರ್ಧದ,of the second half,noun,ದ,yes
ವಾಕಿಂಗ್,walking,noun,್,no
ಅಲೆಮಾರಿ,nomad,prefix,ಿ,yes
ಭಟ್,Bhat,noun,್,no
ಅದರಲ್ಲೂ,In particular,prefix,ೂ,yes
ರೆಡ್ಡಿ,Reddy,noun,ಿ,no
ಪ್ರತಿನಿಧಿ,Representative,prefix,ಿ,yes
ಪ್ರಧಾನಮಂತ್ರಿಗಳಲ್ಲೊಬ್ಬರು,One of the Prime Ministers,prefix,ು,yes
ಲಾಲ್,lol,noun,್,no
ಪೂರ್ವದಲ್ಲಿ,in the east,noun,ಿ,no
ಸಂಗ್ರಹಾಲಯಗಳಿಗೆ,For museums,prefix,ೆ,yes
ಅಪರಾಧಗಳು,Offenses,prefix,ು,yes
ಹೆಚ್ಚಾಗಿ,Mostly,noun,ಿ,no
ನಿದರ್ಶನಗಳನ್ನು,instances,noun,ು,no
ಅತ್ರಿ,Atri,prefix,ಿ,yes
ಸುಂದರ,beautiful,prefix,ರ,yes
ಅವಳನ್ನು,her,prefix,ು,yes
ಅವರು,They are,prefix,ು,yes
ಅಂಶವಾದ,Factorism,noun,ದ,yes
ದೊಡ್ಡಣ್ಣ,big brother,noun,ಣ,yes
ಇಲಕಲ್ಲ,Not a letter,noun,ಲ,yes
ವ್ಯಾಪ್ತಿಯಲ್ಲಿ,in scope,noun,ಿ,no
ಇತ್ಯಾದಿ,etc,noun,ಿ,no
ಕೊತಂಬರಿ,Coriander,noun,ಿ,no
ಪಡವಲಕಾಯಿ,Radish,noun,ಿ,no
ಸ್ಟೇಡ್,Stade,noun,್,no
ಶಾಲಾ,School,noun,ಾ,no
ತಂಡದಿಂದ,From the team,noun,ದ,yes
ಪ್ಲೇಯರ್,player,noun,್,no
ರೌಂಡ್,Round,noun,್,no
ವಿಷ್ಣುವರ್ಧನ್,Vishnuvardhan,prefix,್,yes
ಕಾರ್ವೆಟ್,Corvette,noun,್,no
ದರ್ಜೆ,grade,noun,ೆ,no
ಫ್ಲೀಟ್,Fleet,noun,್,no
ಮಹಾವೀರ,Mahavira,prefix,ರ,yes
ಶ್ರೀನಿವಾಸಪುರ,Srinivaspur,noun,ರ,yes
ಆನೇಕಲ್,Anacle,noun,್,no
ಗದಗ,Gadaga,noun,ಗ,yes
ಬಂಗಾರಪೇಟೆ,Bangarpet,noun,ೆ,no
ಪಾವಗಡ,a sin,noun,ಡ,yes
ಕುಮಟಾ,Kumata,noun,ಾ,no
ವಿಕಿಪೀಡಿಯ,Wikipedia,prefix,ಯ,yes
ಬೋಪಣ್ಣ,Bopanna,noun,ಣ,yes
ಚಿತ್ರನಟಿ,actress,noun,ಿ,no
ಮೇಘಾ,Megha,noun,ಾ,no
ಜನಪ್ರಿಯ,popular,noun,ಯ,yes
ರಂಗಭೂಮಿಗೆ,to the theatre,noun,ೆ,no
ಸ್ವಾತಂತ್ರ್ಯ,freedom,noun,ಯ,yes
ಸುಚೇತ,Sucheta,prefix,ತ,yes
ಸೊ೦ಟಕ್ಕೆ,To the waist,noun,ೆ,no
ದಾಸ್,Das,noun,್,no
ಬಾಲರಾಜ್,Balaraj,noun,್,no
ಚಿತ್ರದಲ್ಲಿ,In the picture,noun,ಿ,no
ದೇಸಾಯಿ,Desai,noun,ಿ,no
ಯುಪಾದಲ್ಲಿ,In Yupa,noun,ಿ,no
ಇಂಡೋನೇಷ್ಯಾದಲ್ಲಿ,In Indonesia,noun,ಿ,no
ಕುಡುಂಗ,Kudunga,noun,ಗ,yes
ದೃಶ್ಯದ,of the scene,noun,ದ,yes
ಸ್ತಂಭದ,pillar,noun,ದ,yes
ಸ್ತಂಭವಾಗಿದೆ,is a pillar,noun,ೆ,no
ವಸ್ತುಸಂಗ್ರಹಾಲಯದಲ್ಲಿರುವ,In the museum,noun,ವ,yes
ಕೊಠಡಿಗಳನ್ನು,rooms,noun,ು,no
ಸ್ವರ್ಣ,Gold,noun,ಣ,yes
ದಿಂದ,from,noun,ದ,yes
ಕಿಮೀ,km,noun,ೀ,no
ಔತಣಕೂಟ,Banquet,noun,ಟ,no
ಕ್ಯಾಂಟನ್ಗಳು,Cantons,noun,ು,no
ಮೂಲಗಳು,sources,noun,ು,no
ಶಾಲೆಗಳು,schools,noun,ು,no
ವಿವಾಹ,marriage,prefix,ಹ,yes
ಪಿನ್,Pin,noun,್,no
ಮಂಗಳೂರಿನಿಂದ,From Mangalore,noun,ದ,yes
ತಲುಪಬಹುದು,can reach,noun,ು,no
ಹೆದ್ದಾರಿ,Highway,noun,ಿ,no
ಸೇತು,the bridge,noun,ು,no
ಸಾಹಿತಿಗಳು,Literature,noun,ು,no
ಸಣ್ಣಪ್ರಮಾಣದ,Small scale,noun,ದ,yes
ಸಂಗ್ರಹಿಸುತ್ತಾರೆ,collects,prefix,ೆ,yes
ಬಿಳಿಚಿಕೊಳ್ಳುತ್ತದೆ,turns white,noun,ೆ,no
ಕೃತಕವರ್ಣಗಳು,Artificial colors,noun,ು,no
ಬೀಜಗಳಿರುತ್ತವೆ,There are seeds,noun,ೆ,no
ಕರಗಿ,dissolve,noun,ಿ,no
ಏಷಿಯಾ,Asia,noun,ಾ,no
ಬೆಳಗಾಂವಿ,Belgaum,noun,ಿ,no
ಲಭ್ಯವಿರುವ,Available,noun,ವ,yes
ಮೀನುಗಾರಿಕೆ,fishing,noun,ೆ,no
ದಿನೇ,day itself,noun,ೇ,no
ಇಷ್ಟೊಂದು,That's all,noun,ು,no
ಆಚಾರವಿಚಾರಗಳನ್ನು,Rituals,noun,ು,no
ನಗರವು,The city,noun,ು,no
ಕ್ರಿಯೆಯಲ್ಲಿ,in action,noun,ಿ,no
ಸರಾಗವಾಗಿ,smoothly,noun,ಿ,no
ಬಾಯ್ಲರ್,Boiler,noun,್,no
ಜೋಷಾಯಿ,Joshua,noun,ಿ,no
ನಿವಾರಿಸಿದೆ,Remedied,noun,ೆ,no
ಗೋಪುರಗಳಂತಹ,like towers,noun,ಹ,no
ವಿರಳವಾದ,rare,noun,ದ,yes
ಯಾಗುತ್ತದೆ,becomes,noun,ೆ,no
ಆಂಡರ್ಸನ್,Anderson,noun,್,no
ಏನ್ಷಂಟ್,Ancient,noun,್,no
ಕೆರೊಲಿನಾದ,of Carolina,noun,ದ,yes
ಇದ್ದಕ್ಕಿದ್ದಂತೆ,suddenly,noun,ೆ,no
ಪಾಲಿಕ,Corporation,noun,ಕ,yes
ರೋಗದಿಂದಾಗುತ್ತಿದ್ದ,Caused by disease,noun,ದ,yes
ಮಂಡಲದ,Mandala,noun,ದ,yes
ಗ್ರಂಥಿಗಳಿಗೆ,to the glands,noun,ೆ,no
ನಂಥ,mine,noun,ಥ,no
ನಿರ್ದೇಶಿಸಿದ,directed by,noun,ದ,yes
ಜಾಗೃತಿಯ,of awareness,noun,ಯ,yes
ಅನುಕ್ರಮವಾಗಿ,respectively,prefix,ಿ,yes
ಸ್ಕ್ವ್ಯಾಷ್,Squash,noun,್,no
ಅರಳಿದವು,Bloomed,prefix,ು,yes
ಹತ್ತಿ,Cotton,noun,ಿ,no
ಅರವಿಂದ್,Arvind,prefix,್,yes
ನೀಡುತ್ತದೆ,gives,noun,ೆ,no
ಇಲ್ಲಿಂದಲೇ,From here,noun,ೇ,no
ಗಡಿಯನ್ನು,the border,noun,ು,no
ರಾಮನು,Rama is,noun,ು,no
ಮಹಾಕಾವ್ಯದಲ್ಲಿ,In the epic,prefix,ಿ,yes
ಕೃಷ್ಣವೇಣಿ,Krishnaveni,noun,ಿ,no
ಆಕ್ರಮಣ,attack,noun,ಣ,yes
ವ್ಯಕ್ತಿಯ,of a person,noun,ಯ,yes
ಅನುಪಸ್ಥಿತಿಯು,Absence,prefix,ು,yes
ಜೀವಶಕ್ತಿ,life force,noun,ಿ,no
ಸಾಧಿಸುವ,Achieving,noun,ವ,yes
ಕಾಯಿಲೆಯ,disease,noun,ಯ,yes
ತೃಪಿ,Satisfied,noun,ಿ,no
ಏವಿಚ್,Avitch,noun,್,no
ಝ್,Z,noun,್,no
ಪ್ರಕಾರ,According to,noun,ರ,yes
ಜನಗಳಲ್ಲಿ,Among the people,noun,ಿ,no
ಕಾಕಲ್ಯೀಕರಣವೇ,Kakalization itself,noun,ೇ,no
ಒರಿಸ್ಸದ,of Orissa,noun,ದ,yes
ಜನಗಣತಿಯ,Census,noun,ಯ,yes
ಗದಬ,An uproar,noun,ಬ,yes
ಮಣ್ಣಿನಲ್ಲಿರುವ,in the soil,noun,ವ,yes
ಹಸಿರುಬಣ್ಣದೊಡನೆ,With green color,noun,ೆ,no
ಗುಂಪಿನಲ್ಲಿ,in the group,noun,ಿ,no
ಪಕ್ಷಿಗಳಿರಬಹುದು,There may be birds,noun,ು,no
ಸೂಕ್ತವಾಗಿ,appropriately,noun,ಿ,no
ಮಾಪಕಗಳಷ್ಟು,As scales,noun,ು,no
ಅನಿಲ,gas,prefix,ಲ,yes
ಟ್ಯೂಬ್,tube,noun,್,no
ಕೊಳವೆಯೊಳಗಿನ,Inside the tube,noun,ನ,yes
ಸ್ತ್ರೆಸ್,Stress,noun,್,no
ಪಡಿಸಲು,to make,noun,ು,no
ವರದಿ,Report,noun,ಿ,no
ಒಂದಾಗಿದೆ,is one,noun,ೆ,no
ಹಿತಾಸಕ್ತಿಯನ್ನು,interest,noun,ು,no
ಕಾರ್ಮಿಕ,labor,noun,ಕ,yes
ಲಿಂಕ್,Link,noun,್,no
ಕಾಯಿದೆಗಳು,Acts,noun,ು,no
ಹಗುರದೋಣಿ,light boat,noun,ಿ,no
ಎನರ್ಜಿ,Energy,noun,ಿ,no
ಚಿಲ್ಲರೆ,Retail,noun,ೆ,no
ಅಧ್ಯಕ್ಷರಾದ,President,prefix,ದ,yes
ಇಕನಾಮಿಕ್,economic,noun,್,no
ಸಸ್ಯಗಳು,Plants,noun,ು,no
ಜನಪ್ರಿಯವಾಗಿವೆ,are popular,noun,ೆ,no
ಎಕ್ಸರೆ,x-ray,noun,ೆ,no
ಕುಂದು,Kundu,noun,ು,no
ಸೈಟ್,Site,noun,್,no
ಬಾತು,the duck,noun,ು,no
ಖಾಲಿ,empty,noun,ಿ,no
ಬೋಲ್ಟ್,Bolt,noun,್,no
ಕಂಪ್ಯೂಟರ್,Computer,noun,್,no
ಇರುವುದುಂಟು,There will be,noun,ು,no
ಸಾಲದ,of debt,noun,ದ,yes
ಉತ್ಪಾದನೆಗಳ,of productions,noun,ಳ,no
ದಲ್ಲಾಳಿಗಳೆಂದು,As brokers,noun,ು,no
ಸೂತ್ರಗಳನ್ನು,formulas,noun,ು,no
ರೀತಿನೀತಿಗಳು,Policies,noun,ು,no
ಬದ್ಧನಾಗಿರುತ್ತಾನೆ,is committed,noun,ೆ,no
ತತ್ತ್ವಗಳನ್ನೂ,Principles too,noun,ೂ,no
ಸುಲಭವಾಗಿ,Easily,prefix,ಿ,yes
ಪದ್ಧತಿ,custom,noun,ಿ,no
ಆಡಳಿತಕ್ಕಿಂತಲೂ,than administration,noun,ೂ,no
ಹೆಸರಿಸುವಾಗ,When naming,noun,ಗ,yes
ಪುಂಜಗಳಿಂದ,from the punjas,noun,ದ,yes
ಸಂಯುಕ್ತಗಳೆಂಬ,Compounds,prefix,ಬ,yes
ಸಿಮೆಟ್ರಿಕ್,Symmetrical,noun,್,no
ಅಂಚಿನಿಂದ,from the edge,prefix,ದ,yes
ಸಮಾಜದ,of society,noun,ದ,yes
ಬಿಡುಗಡೆಮಾಡಿತು,Released,noun,ು,no
ಒಳಗೊಳ್ಳುವಿಕೆಯ,of involvement,noun,ಯ,yes
ಸಾಧ್ಯತೆಯನ್ನೂ,Likely too,noun,ೂ,no
ಟ್ರಂಪ್,Trump,noun,್,no
ಸಿಂಗಲ್ಸ್,Singles,noun,್,no
ನಿರ್ಣಯಕಾರನಾಗಿದ್ದ,He was decisive,noun,ದ,yes
ಫಾದರ್,Father,noun,್,no
ಅಂಗಿ,the shirt,prefix,ಿ,yes
ಸಂಯುಕ್ತ,composite,prefix,ತ,yes
ಜನವರಿ,January,noun,ಿ,no
ಬ್ಲಾಸ್ಟ್,Blast,noun,್,no
ಭಿನ್ನವಾಗಿದೆ,is different,noun,ೆ,no
ತೂಗುತ್ತದೆ,weighs,noun,ೆ,no
ವಿನ್ಯಾಸಗೊಳಿಸಲಾಗಿದೆ,designed,prefix,ೆ,yes
ದೊರಕಿದೆ,received,noun,ೆ,no
ಸಾಗಾಟಕ್ಕೆ,for shipping,noun,ೆ,no
ಜನಪ್ರಿಯತೆಯಿಂದಾಗಿ,Because of popularity,noun,ಿ,no
ಚೀನಾದಲ್ಲಿ,In China,noun,ಿ,no
ಹಡಗುಪಡೆಗಳು,fleets,noun,ು,no
ಶ್ರೀನಗರ,Srinagar,noun,ರ,yes
ಆನ್,Ann,noun,್,no
ಸ್ಪೇನ್,Spain,noun,್,no
ಪ್ರಜಾತಂತ್ರ,democracy,prefix,ರ,yes
ಸೋವಿಯೆಟ್,Soviet,noun,್,no
ಸುಲಭವಾಗುತ್ತದೆ,will be easy,prefix,ೆ,yes
ಗೊತ್ತುವಳಿ,Identified,noun,ಿ,no
ಸಂಸದೀಯ,Parliamentary,prefix,ಯ,yes
ಲಿಖಿತ,written,noun,ತ,yes
ವಸ್ತುವಾಗಿರಬಹುದು,may be material,noun,ು,no
ಕಾರ್ಯವಿಧಾನ,procedure,noun,ನ,yes
ತರಬೇಕು,should be brought,noun,ು,no
ತುಂಗಾ,Tunga,noun,ಾ,no
ಬಾಣವು,the arrow,noun,ು,no
ಚಂಚನಕಟ್ಟೆ,Chanchanakte,noun,ೆ,no
ಕುಚಿಕಲ್,Little one,noun,್,no
ಕೆಳಭಾಗದಲ್ಲಿ,At the bottom,noun,ಿ,no
ಕಾಡನ್ನು,the forest,noun,ು,no
ಕಾಪು,Kapu,noun,ು,no
ಪಂಚಮಿ,Panchami,noun,ಿ,no
ರುಸೋ,Rousseau,noun,ೋ,no
ಜ಼ಾಕ್ವಸ್,Jacques,noun,್,no
ತಿಳಿಸಿದರು,Told,noun,ು,no
ಆಸ್ತಿ,Property,noun,ಿ,no
ಅರ್ಥದಲ್ಲಿ,in sense,prefix,ಿ,yes
ಅಭಿವೃದ್ಧಿಯ,of development,prefix,ಯ,yes
ಪುಷ್ಪ,flower,noun,ಪ,yes
ಖರೀದಿಸುವುದಿಲ್ಲ,Will not buy,noun,ಲ,yes
ದಾರುವನ್ನು,the liquor,noun,ು,no
ಕಬ್ಬಿಣದ,of iron,noun,ದ,yes
ಇನೊಫೈಲಮ್,Inophyllum,noun,್,no
ಜಾನಪದ,folklore,noun,ದ,yes
ಎಮ್ಎಎಸ್ಎಚ್ಎಲ್ಎಮ್,MASHLM,noun,್,no
ಪಬ್ಲಿಕ,public,noun,ಕ,yes
ಮಾನವೀಯ,humanitarian,noun,ಯ,yes
ಪದವಿಗಳ,degrees,noun,ಳ,no
ಕಾರ್ಯಕ್ರಮಗಳನ್ನು,programs,noun,ು,no
ಪೂರ್ಣಗೊಳಿಸಲು,to complete,noun,ು,no
ಶತಮಾನಗಳಾದ್ಯಂತ,across the centuries,noun,ತ,yes
ಗಾಳಿಯ,of air,noun,ಯ,yes
ಪೂ,BC,noun,ೂ,no
ಎಂಬುದು,is,noun,ು,no
ವಿಷಯವಾಗಿದೆ,is the subject,prefix,ೆ,yes
ಅದರೊಳಗಿನ,within it,prefix,ನ,yes
ಮಲೇಷ್ಯಾದಲ್ಲಿ,In Malaysia,noun,ಿ,no
ಪಂದ್ಯಾವಳಿಗಾಗಿ,For the tournament,noun,ಿ,no
ಟ್ವೆಂಟಿ,Twenty,noun,ಿ,no
ಘಟಕವನ್ನೋ,unit,noun,ೋ,no
ರೆಹಮಾನ್,Rahman,noun,್,no
ಜಲಮಾರ್ಗಗಳಲ್ಲಿ,in waterways,noun,ಿ,no
ವಿಶೇಷಗಳು,Specials,prefix,ು,yes
ನಾಟಕಗಳು,dramas,noun,ು,no
ಆಕಾಶದ,of the sky,noun,ದ,yes
ಮೆರವಣಿಗೆಗಾಗಿ,for the parade,noun,ಿ,no
ಸಮಿತಿಗಳಿವೆ,There are committees,noun,ೆ,no
ನವದುರ್ಗೆಯರ,of Navadurga,noun,ರ,yes
ವಿಗ್ರಹಾರಾಧನೆಯಿಂದ,from idolatry,prefix,ದ,yes
ಗುರುತಿಸುವ,identifying,noun,ವ,yes
ರೂಢಿ,the custom,noun,ಿ,no
ದುರ್ಗುಣವು,vice,prefix,ು,yes
ಕ್ಷೇತ್ರದಿಂದ,from the field,noun,ದ,yes
ನಿಷ್ಪತ್ತಿಯ,Nispatti,noun,ಯ,yes
ಹೊರಹೊಮ್ಮುವಿಕೆಯು,Emergence,noun,ು,no
ವಿಸರಣೆಯಿಂದ,By diffusion,prefix,ದ,yes
ಹತ್ತಿರದಲ್ಲಿರುತ್ತವೆ,are close,noun,ೆ,no
ಪಕ್ಕದಲ್ಲಿ,next to,noun,ಿ,no
ತೆರಳುತ್ತಾರೆ,will move,noun,ೆ,no
ಸಾಮಗ್ರಿಗಳನ್ನು,materials,noun,ು,no
ದೇವಸ್ಥಾನವಾಗಿದೆ,It is a temple,noun,ೆ,no
ದೌರ್ಜನ್ಯವಾಗಿತ್ತು,It was brutal,noun,ು,no
ಸಕೇಶಿಯರಾದ,Sakeshiya,noun,ದ,yes
ಚಟ್ಟೋಪಾಧ್ಯಾಯಯರವರ,Chattopadhyay's,noun,ರ,yes
ಅಪರೂಪಕ್ಕಾದರೂ,Rarely though,prefix,ೂ,yes
ಅನರ್ಹರು,ineligible,prefix,ು,yes
ಮತೀಯ,sectarian,noun,ಯ,yes
ಸಂಪಾದಿಸಲಾಯಿತು,Edited,prefix,ು,yes
ಬಂಡವಾಳಸರಕು,capital goods,noun,ು,no
ಅವಕ್ಕೆ,to them,prefix,ೆ,yes
ಸುಧಾರಿತ,Improved,prefix,ತ,yes
ನಿವಾರಿಸುವ,Relieving,noun,ವ,yes
ಹೊಂದಿಸುವುದಕ್ಕೂ,To adjust,noun,ೂ,no
ಮಧ್ಯಮವರ್ಗದ,Middle class,noun,ದ,yes
ಪ್ರಯೋಗಗಳನ್ನು,experiments,prefix,ು,yes
ಜೋರ್,Loud,noun,್,no
ತೆಗೆದುಹಾಕಲು,to remove,noun,ು,no
ಮಗನೂ,son too,noun,ೂ,no
ಜಗತ್ತು,the world,noun,ು,no
ಪ್ರಜಾನುಡಿ,Public speaking,prefix,ಿ,yes
ವಚನ,Vow,noun,ನ,yes
ಸಿದ್ಧಿ,siddhi,noun,ಿ,no
ಹೃದಯವಂತ,hearty,noun,ತ,yes
ಇನ್ಟೆರ್ನೇಶಿನಲ್,International,noun,್,no
ಸೇರಿದರಿಂದ,Since belonging,noun,ದ,yes
ಪ್ರಮಾಣವನ್ನು,quantity,prefix,ು,yes
ಪೂನಃ,Poonah,noun,ಃ,no
ಹೆಚ್ಚಾಗುತ್ತದೆ,increases,noun,ೆ,no
ಮಾರ್ಟೆಂಸೈಟ್,Martensite,noun,್,no
ಸಮರ್ಥನೀಡಿತ್ತು,Justified,noun,ು,no
ಬಳಕೆಗಳಿಗೆ,for uses,noun,ೆ,no
ಸೀಸ,lead,noun,ಸ,no
ಇವುಗಳ,of these,noun,ಳ,no
ಚಿಹ್ನೆಗೂ,to the symbol,noun,ೂ,no
ನಿಕ್ಕಲ್,Nickel,noun,್,no
ಕಾಮೇಶನ,Commission,noun,ನ,yes
ಐಂದ್ರಿತಾ,Aindrita,noun,ಾ,no
ಪಿಬಿ,PB,noun,ಿ,no
ಗೋಲ್ಮಾಲ್,Golmaal,noun,್,no
ಸೀನು,sneeze,noun,ು,no
ಗೌರಿ,Gauri,noun,ಿ,no
ರಾವ್,Rao,noun,್,no
ಅಸಾಧು,asadha,prefix,ು,yes
ಭಾವನಿಷ್ಟ,emotional,noun,ಟ,no
ಸ್ವಭಾವದಿಂದ,By nature,noun,ದ,yes
ಸಂದೇಹಕ್ಕೆ,In doubt,prefix,ೆ,yes
ಪ್ರಮಾಣವಾಗಲಾರದು,Cannot be sworn,prefix,ು,yes
ಕಾರ್ಯಕ್ಕೆ,to the task,noun,ೆ,no
ಬಂಧನದಲ್ಲಿ,in custody,noun,ಿ,no
ಸ್ಥಿತಿಯಲ್ಲಿರುತ್ತದೆ,is in condition,noun,ೆ,no
ಬಾಗಿರುತ್ತದೆ,bent,noun,ೆ,no
ಆಕರ್ಷಣೆ,attraction,noun,ೆ,no
ನರ್ವಸ್,Nervous,noun,್,no
ಸಿದ್ಧಾಂತಕ್ಕೆ,to theory,noun,ೆ,no
ಬಳಕೆಗೆ,for use,noun,ೆ,no
ಸ್ವಾಪ,Swapa,noun,ಪ,yes
ಯೋಜನೆಯೊಳಗೆ,Within the project,noun,ೆ,no
ಇದಕ್ಕಾಗಿ,For this,noun,ಿ,no
ಅಂಗೀಕರಿಸಲಾಯಿತು,was accepted,prefix,ು,yes
ವಿಕಿಪುಸ್ತಕ,Wikipedia,prefix,ಕ,yes
ಅಳಿಸಲು,to delete,prefix,ು,yes
ಎರ್ಗೊಸ್ಟಿರಾಲಿನ,of ergosterol,noun,ನ,yes
ಹೋಳುಗಳಾಗಿ,into slices,noun,ಿ,no
ಕಡ್ಡಾಯವಾಗಿ,Mandatory,noun,ಿ,no
ವಾಸನೆಗಳಿಂದ,by smells,noun,ದ,yes
ಉಪಯೊಗಿಸುತಿದ್ದರು,was used,prefix,ು,yes
ಥೈಲಾಂಡ್,Thailand,noun,್,no
ಪ್ರದೆಶದಲ್ಲಿ,in the region,prefix,ಿ,yes
ಮ್ಯಾಂಗೊಸ್ಟೆನ್,Mangosteen,noun,್,no
ಪದನಾಮವನ್ನು,designation,noun,ು,no
ಏಷ್ಯಾಕ್ಕೆ,to Asia,noun,ೆ,no
ಗೋಸಾಲ,Cowshed,noun,ಲ,yes
ಒಪ್ಪಿಕೊಂಡ,Accepted,noun,ಡ,yes
ವಿಧಿ,destiny,prefix,ಿ,yes
ಕಲ್ಚರಲ್,Cultural,noun,್,no
ಗಾಯಕಿಯಾದರು,Became a singer,noun,ು,no
ವಿಕ್ರಮ್,Vikram,prefix,್,yes
ಕುಡಮಲೂರು,Kudamalur,noun,ು,no
ಲಕ್ನೋದ,of Lucknow,noun,ದ,yes
ಕುಮಾರಿ,Kumari,noun,ಿ,no
ಆಟಿಕೆ,a toy,noun,ೆ,no
ಕಾನ್ವೆಂಟ್,Convent,noun,್,no
ಪಾಲುಗಳು,stakes,noun,ು,no
ಬಿಲ್,Bill,noun,್,no
ಕುತ್ತಿಗೆ,the neck,noun,ೆ,no
ಭಾಷಾವಾರು,linguistically,noun,ು,no
ಮಲೇಶಿಯಾ,Malaysia,noun,ಾ,no
ಮಹಾರಾಜ,Maharaja,prefix,ಜ,yes
ನಾಯಕರಾಗಿದ್ದ,He was the leader,noun,ದ,yes
ಕೊರಿಯಾ,Korea,noun,ಾ,no
ಅಂತರಾಷ್ಟ್ರೀಯ,International,prefix,ಯ,yes
ಗಳಲ್ಲಿ,in the,noun,ಿ,no
ಪದಕ,medal,noun,ಕ,yes
ಪ್ರಚಾರಕರಾಗಿ,Become a campaigner,prefix,ಿ,yes
ಪ್ರವರ್ತಕರಾದರು,Became a pioneer,prefix,ು,yes
ಆಯಸ್ಸು,age,noun,ು,no
ಪೊದೆಗಳು,bushes,noun,ು,no
ಕಂಡುಬಂದಿದೆ,found,noun,ೆ,no
ದುರಸ್ತಿ,repair,prefix,ಿ,yes
ಸಂಕ್ಷಿಪ್ತವಾಗಿ,In short,prefix,ಿ,yes
ಇಲ್ಲದಿರುವಿಕೆ,Absence,noun,ೆ,no
ಮಗುವೊಂದರ,of a child,noun,ರ,yes
ಖಾಂಡೇಕರ್,Khandekar,noun,್,no
ಜನನದ,of birth,noun,ದ,yes
ವಿಶ್ವನಾಥ,Vishwanath,prefix,ಥ,yes
ನೆಮಾಡೆ,Nemade,noun,ೆ,no
